[0;32mI (13) boot: ESP-IDF v5.1-beta1-378-gea5e0ff298-dirt 2nd stage bootloader[0m
[0;32mI (13) boot: compile time Jun  7 2023 07:48:23[0m
[0;32mI (15) boot: Multicore bootloader[0m
[0;32mI (19) boot: chip revision: v3.1[0m
[0;32mI (23) boot.esp32: SPI Speed      : 40MHz[0m
[0;32mI (27) boot.esp32: SPI Mode       : DIO[0m
[0;32mI (32) boot.esp32: SPI Flash Size : 4MB[0m
[0;32mI (36) boot: Enabling RNG early entropy source...[0m
[0;32mI (42) boot: Partition Table:[0m
[0;32mI (45) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (53) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (60) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (67) boot:  2 factory          factory app      00 00 00010000 003f0000[0m
[0;32mI (75) boot: End of partition table[0m
[0;32mI (79) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b144h ( 45380) map[0m
[0;32mI (104) esp_image: segment 1: paddr=0001b16c vaddr=3ffb0000 size=01f6ch (  8044) load[0m
[0;32mI (108) esp_image: segment 2: paddr=0001d0e0 vaddr=40080000 size=013f4h (  5108) load[0m
[0;32mI (112) esp_image: segment 3: paddr=0001e4dc vaddr=00000000 size=01b3ch (  6972) [0m
[0;32mI (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=109ech ( 68076) map[0m
[0;32mI (152) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (152) boot: Disabling RNG early entropy source...[0m
tap_trace,ms,tap_src,seq,cand,jerk,int1,int2,pgood,batt_pct,gx,gy,gz,ax,ay,az
tap_trace,1676,0x00,0,0,0,0,0,0,100,0,0,0,204,-326,16602
tap_trace,3350,0x00,0,0,58,0,0,0,100,0,0,0,203,-343,16564
tap_trace,3407,0x00,0,0,33,0,0,0,100,0,0,0,202,-366,16590
tap_trace,3463,0x00,0,0,66,0,0,0,100,0,0,0,234,-355,16565
tap_trace,3520,0x00,0,0,65,0,0,0,100,0,0,0,170,-342,16572
tap_trace,3576,0x00,0,0,54,0,0,0,100,0,0,0,202,-356,16586
tap_trace,3633,0x00,0,0,61,0,0,-1,100,0,0,0,192,-334,16587
tap_trace,3690,0x00,0,0,80,0,0,-1,100,0,0,0,208,-359,16614
tap_trace,3747,0x00,0,0,56,0,0,-1,100,0,0,0,215,-315,16590
tap_trace,3803,0x00,0,0,38,0,0,-1,100,0,0,0,232,-343,16617
tap_trace,3860,0x00,0,0,76,0,0,-1,100,0,0,0,206,-340,16582
tap_trace,3916,0x00,0,0,47,0,0,-1,100,0,0,0,210,-333,16574
tap_trace,3974,0x00,0,0,25,0,0,-1,100,0,0,0,202,-350,16598
tap_trace,4030,0x00,0,0,87,0,0,-1,100,0,0,0,209,-314,16604
tap_trace,4087,0x00,0,0,43,0,0,-1,100,0,0,0,230,-332,16582
tap_trace,4143,0x00,0,0,48,0,0,-1,100,0,0,0,164,-342,16597
tap_trace,4199,0x00,0,0,71,0,0,-1,100,0,0,0,189,-349,16586
tap_trace,4257,0x00,0,0,39,0,0,-1,100,0,0,0,212,-329,16592
tap_trace,4314,0x00,0,0,51,0,0,-1,100,0,0,0,204,-314,16566
tap_trace,4370,0x00,0,0,36,0,0,-1,100,0,0,0,175,-347,16611
tap_trace,4427,0x00,0,0,69,0,0,-1,100,0,0,0,188,-362,16600
tap_trace,4483,0x00,0,0,52,0,0,-1,100,0,0,0,198,-325,16578
tap_trace,4541,0x00,0,0,52,0,0,-1,100,0,0,0,223,-330,16594
tap_trace,4597,0x00,0,0,41,0,0,-1,100,0,0,0,232,-336,16606
tap_trace,4654,0x00,0,0,64,0,0,-1,100,0,0,0,214,-321,16577
tap_trace,4710,0x00,0,0,73,0,0,-1,100,0,0,0,208,-313,16587
tap_trace,4767,0x00,0,0,39,0,0,-1,100,0,0,0,228,-349,16591
tap_trace,4824,0x00,0,0,38,0,0,-1,100,0,0,0,198,-302,16609
tap_trace,4881,0x00,0,0,17,0,0,-1,100,0,0,0,194,-345,16619
tap_trace,4937,0x00,0,0,64,0,0,-1,100,0,0,0,196,-341,16611
tap_trace,4993,0x00,0,0,93,0,0,-1,100,0,0,0,211,-313,16597
tap_trace,5050,0x00,0,0,63,0,0,-1,100,0,0,0,216,-339,16590
tap_trace,5108,0x00,0,0,45,0,0,-1,100,0,0,0,202,-320,16571
tap_trace,5164,0x00,0,0,49,0,0,-1,100,0,0,0,236,-366,16586
tap_trace,5220,0x00,0,0,54,0,0,-1,100,0,0,0,201,-334,16607
tap_trace,5277,0x00,0,0,63,0,0,-1,100,0,0,0,208,-345,16612
tap_trace,5333,0x00,0,0,19,0,0,-1,100,0,0,0,209,-324,16632
tap_trace,5391,0x00,0,0,69,0,0,-1,100,0,0,0,221,-340,16604
tap_trace,5448,0x00,0,0,35,0,0,-1,100,0,0,0,207,-332,16555
tap_trace,5504,0x00,0,0,56,0,0,-1,100,0,0,0,217,-322,16608
tap_trace,5560,0x00,0,0,72,0,0,-1,100,0,0,0,220,-346,16581
tap_trace,5617,0x00,0,0,27,0,0,-1,100,0,0,0,212,-324,16566
tap_trace,5675,0x00,0,0,38,0,0,-1,100,0,0,0,225,-340,16590
tap_trace,5731,0x00,0,0,41,0,0,-1,100,0,0,0,198,-335,16625
tap_trace,5788,0x00,0,0,58,0,0,-1,100,0,0,0,202,-340,16589
tap_trace,5844,0x00,0,0,27,0,0,-1,100,0,0,0,197,-358,16623
