[0;32mI (13) boot: ESP-IDF v5.1-beta1-378-gea5e0ff298-dirt 2nd stage bootloader[0m
[0;32mI (13) boot: compile time Jun  7 2023 07:48:23[0m
[0;32mI (15) boot: Multicore bootloader[0m
[0;32mI (19) boot: chip revision: v3.1[0m
[0;32mI (23) boot.esp32: SPI Speed      : 40MHz[0m
[0;32mI (27) boot.esp32: SPI Mode       : DIO[0m
[0;32mI (32) boot.esp32: SPI Flash Size : 4MB[0m
[0;32mI (36) boot: Enabling RNG early entropy source...[0m
[0;32mI (42) boot: Partition Table:[0m
[0;32mI (45) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (53) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (60) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (67) boot:  2 factory          factory app      00 00 00010000 003f0000[0m
[0;32mI (75) boot: End of partition table[0m
[0;32mI (79) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b1bch ( 45500) map[0m
[0;32mI (104) esp_image: segment 1: paddr=0001b1e4 vaddr=3ffb0000 size=01f6ch (  8044) load[0m
[0;32mI (108) esp_image: segment 2: paddr=0001d158 vaddr=40080000 size=013f4h (  5108) load[0m
[0;32mI (112) esp_image: segment 3: paddr=0001e554 vaddr=00000000 size=01ac4h (  6852) [0m
[0;32mI (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=10d88h ( 69000) map[0m
[0;32mI (153) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (153) boot: Disabling RNG early entropy source...[0m
tap_trace,ms,tap_src,seq,cand,csrc,jerk,veto,gyro,int1,int2,pgood,batt_pct,gx,gy,gz,ax,ay,az
tap_trace,1661,0x00,0,0,0x00,0,0,1506,0,0,0,100,-220,-928,-369,229,-30,16586
tap_trace,3317,0x00,0,0,0x00,102,0,1451,0,0,0,100,-20tap_trace,3373,0x00,0,0,0x00,68,0,1478,0,0,0,100,-188,-924,-368,214,-66,16532
tap_trace,3428,0x00,0,0,0x00,34,0,1510,0,0,0,100,-197,-916,-380,223,-53,16589
tap_trace,3483,0x00,0,0,0x00,61,0,1473,0,0,0,100,-209,-896,-369,178,-62,16578
tap_trace,3538,0x00,0,0,0x00,82,0,1451,0,0,0,100,-201,-900,-372,235,-62,16568
tap_trace,3593,0x00,0,0,0x00,49,0,1462,0,0,-1,100,-192,-919,-388,208,-59,16557
tap_trace,3664,0x00,0,0,0x00,68,0,1503,0,0,-1,100,-201,-922,-383,215,-69,16609
tap_trace,3719,0x00,0,0,0x00,53,0,1502,0,0,-1,100,-198,-925,-390,231,-89,16572
tap_trace,3774,0x00,0,0,0x00,13,0,1472,0,0,-1,100,-189,-910,-373,230,-56,16567
tap_trace,3829,0x00,0,0,0x00,40,0,1506,0,0,-1,100,-208,-912,-370,235,-57,16555
tap_trace,3884,0x00,0,0,0x00,59,0,1482,0,0,-1,100,-195,-911,-388,225,-48,16609
tap_trace,3954,0x00,0,0,0x00,31,0,1503,0,0,-1,100,-195,-907,-384,205,-51,16573
tap_trace,4010,0x00,0,0,0x00,28,0,1501,0,0,-1,100,-204,-902,-364,242,-40,16557
tap_trace,4065,0x00,0,0,0x00,80,0,1504,0,0,-1,100,-207,-925,-377,212,-43,16502
tap_trace,4120,0x00,0,0,0x00,65,0,1479,0,0,-1,100,-224,-919,-390,252,-52,16522
tap_trace,4175,0x00,0,0,0x00,82,0,1512,0,0,-1,100,-197,-920,-384,233,-73,16565
tap_trace,4245,0x00,0,0,0x00,40,0,1458,0,0,-1,100,-199,-911,-384,217,-44,16597
tap_trace,4300,0x00,0,0,0x00,97,0,1484,0,0,-1,100,-180,-902,-388,188,-34,16660
tap_trace,4355,0x00,0,0,0x00,120,0,1495,0,0,-1,100,-202,-924,-388,253,-33,16589
tap_trace,4410,0x00,0,0,0x00,104,0,1499,0,0,-1,100,-196,-915,-391,210,-64,16601
tap_trace,4465,0x00,0,0,0x00,74,0,1473,0,0,-1,100,-199,-896,-398,242,-49,16606
tap_trace,4536,0x00,0,0,0x00,71,0,1489,0,0,-1,100,-193,-892,-376,234,-76,16622
tap_trace,4591,0x00,0,0,0x00,98,0,1518,0,0,-1,100,-211,-895,-370,226,-47,16573
tap_trace,4646,0x00,0,0,0x00,66,0,1508,0,0,-1,100,-212,-916,-384,214,-68,16556
tap_trace,4701,0x00,0,0,0x00,54,0,1500,0,0,-1,100,-192,-928,-379,216,-39,16556
tap_trace,4756,0x00,0,0,0x00,30,0,1497,0,0,-1,100,-201,-926,-376,216,-55,16569
tap_trace,4827,0x00,0,0,0x00,126,0,1439,0,0,-1,100,-173,-910,-369,192,-79,16616
tap_trace,4882,0x00,0,0,0x00,101,0,1488,0,0,-1,100,-189,-918,-384,223,-33,16550
tap_trace,4937,0x00,0,0,0x00,150,0,1477,0,0,-1,100,-192,-911,-368,247,-50,16621
tap_trace,4992,0x00,0,0,0x00,106,0,1468,0,0,-1,100,-203,-905,-383,159,-68,16590
tap_trace,5047,0x00,0,0,0x00,173,0,1480,0,0,-1,100,-196,-899,-364,264,-33,16551
tap_trace,5118,0x00,0,0,0x00,100,0,1502,0,0,-1,100,-189,-904,-395,196,-57,16571
tap_trace,5173,0x00,0,0,0x00,44,0,1482,0,0,-1,100,-191,-920,-374,227,-68,16575
tap_trace,5228,0x00,0,0,0x00,107,0,1461,0,0,-1,100,-177,-874,-385,263,-62,16597
tap_trace,5283,0x00,0,0,0x00,128,0,1494,0,0,-1,100,-201,-911,-369,217,-69,16536
tap_trace,5338,0x00,0,0,0x00,36,0,1467,0,0,-1,100,-203,-928,-365,264,-78,16576
tap_trace,5408,0x00,0,0,0x00,37,0,1495,0,0,-1,100,-204,-930,-385,231,-44,16569
tap_trace,5463,0x00,0,0,0x00,62,0,1498,0,0,-1,100,-209,-911,-371,208,-34,16572
tap_trace,5518,0x00,0,0,0x00,108,0,1481,0,0,-1,100,-205,-905,-370,244,-75,16566
tap_trace,5573,0x00,0,0,0x00,184,0,1498,0,0,-1,100,-178,-891,-372,202,-31,16528
tap_trace,5628,0x00,0,0,0x00,83,0,1497,0,0,-1,100,-185,-929,-377,196,-35,16500
tap_trace,5699,0x00,0,0,0x00,181,0,1508,0,0,-1,100,-191,-916,-392,245,-94,16541
tap_trace,5754,0x00,0,0,0x00,140,0,1510,0,0,-1,100,-177,-921,-381,223,-25,16512
tap_trace,5809,0x00,0,0,0x00,127,0,1481,0,0,-1,100,-187,-917,-382,172,-34,16591
tap_trace,5864,0x00,0,0,0x00,121,0,1482,0,0,-1,100,-195,-895,-349,237,-82,16579
tap_trace,5919,0x00,0,0,0x00,90,0,1485,0,0,-1,100,-187,-909,-378,214,-38,16569
tap_trace,5990,0x00,0,0,0x00,51,0,1467,0,0,-1,100,-218,-920,-366,209,-65,16567
tap_trace,6045,0x00,0,0,0x00,133,0,1511,0,0,-1,100,-205,-910,-377,234,-44,16649
tap_trace,6100,0x00,0,0,0x00,69,0,1513,0,0,-1,100,-214,-911,-385,238,-46,16609
tap_trace,6155,0x00,0,0,0x00,107,0,1485,0,0,-1,100,-202,-914,-358,220,-81,16590
tap_trace,6210,0x00,0,0,0x00,123,0,1457,0,0,-1,100,-194,-903,-376,204,-77,16549
tap_trace,6281,0x00,0,0,0x00,144,0,1478,0,0,-1,100,-191,-910,-380,242,-44,16570
tap_trace,6336,0x00,0,0,0x00,143,0,1495,0,0,-1,100,-193,-911,-379,173,-82,16518
tap_trace,6391,0x00,0,0,0x00,98,0,1453,0,0,-1,100,-202,-901,-384,241,-44,16593
tap_trace,6446,0x00,0,0,0x00,28,0,1475,0,0,-1,100,-188,-899,-389,248,-40,16563
tap_trace,6501,0x00,0,0,0x00,45,0,1507,0,0,-1,100,-205,-898,-369,205,-47,16576
tap_trace,6571,0x00,0,0,0x00,88,0,1484,0,0,-1,100,-217,-917,-399,237,-56,16587
tap_trace,6626,0x00,0,0,0x00,65,0,1539,0,0,-1,100,-218,-914,-373,218,-55,16560
tap_trace,6682,0x00,0,0,0x00,12,0,1525,0,0,-1,100,-186,-930,-372,238,-36,16564
tap_trace,6737,0x00,0,0,0x00,45,0,1505,0,0,-1,100,-192,-919,-382,256,-71,16573
tap_trace,6792,0x00,0,0,0x00,48,0,1509,0,0,-1,100,-189,-910,-396,233,-41,16582
tap_trace,6862,0x00,0,0,0x00,16,0,1496,0,0,-1,100,-199,-924,-378,200,-67,16583
tap_trace,6917,0x00,0,0,0x00,77,0,1467,0,0,-1,100,-195,-899,-382,226,-80,16508
tap_trace,6972,0x00,0,0,0x00,133,0,1497,0,0,-1,100,-197,-932,-385,212,-64,16573
tap_trace,7027,0x00,0,0,0x00,56,0,1492,0,0,-1,100,-188,-913,-381,244,-42,16588
tap_trace,7082,0x00,0,0,0x00,106,0,1474,0,0,-1,100,-194,-922,-396,190,-81,16591
tap_trace,7153,0x00,0,0,0x00,138,0,1471,0,0,-1,100,-196,-908,-362,270,-40,16618
tap_trace,7208,0x00,0,0,0x00,95,0,1530,0,0,-1,100,-208,-920,-366,208,-31,16361
tap_trace,7263,0x00,0,0,0x00,67,0,1486,0,0,-1,100,-181,-933,-384,184,-36,16616
tap_trace,7318,0x00,0,0,0x00,133,0,1514,0,0,-1,100,-193,-914,-383,238,-55,16541
tap_trace,7373,0x00,0,0,0x00,130,0,1491,0,0,-1,100,-184,-910,-392,200,-75,16579
tap_trace,7444,0x00,0,0,0x00,106,0,1469,0,0,-1,100,-187,-926,-390,210,-37,16558
tap_trace,7499,0x00,0,0,0x00,135,0,1525,0,0,-1,100,-218,-951,-371,253,-48,16578
tap_trace,7554,0x00,0,0,0x00,136,0,1484,0,0,-1,100,-190,-913,-386,191,-50,16570
tap_trace,7609,0x00,0,0,0x00,99,0,1517,0,0,-1,100,-213,-919,-372,234,-65,16548
tap_trace,7664,0x00,0,0,0x00,126,0,1474,0,0,-1,100,-203,-900,-359,240,-44,16563
tap_trace,7735,0x00,0,0,0x00,174,0,1510,0,0,-1,100,-196,-930,-371,215,-51,16695
tap_trace,7790,0x00,0,0,0x00,103,0,1487,0,0,-1,100,-202,-913,-366,262,-48,16597
tap_trace,7845,0x00,0,0,0x00,137,0,1516,0,0,-1,100,-188,-906,-387,201,-61,16569
tap_trace,7900,0x00,0,0,0x00,101,0,1489,0,0,-1,100,-188,-902,-393,217,-37,16575
tap_trace,7955,0x00,0,0,0x00,66,0,1469,0,0,-1,100,-195,-903,-389,184,-27,16588
tap_trace,8025,0x00,0,0,0x00,46,0,1483,0,0,-1,100,-200,-927,-368,216,-51,16583
tap_trace,8080,0x00,0,0,0x00,85,0,1492,0,0,-1,100,-170,-928,-382,230,-87,16559
tap_trace,8135,0x00,0,0,0x00,131,0,1485,0,0,-1,100,-204,-903,-365,192,-31,16577
tap_trace,8190,0x00,0,0,0x00,203,0,1502,0,0,-1,100,-199,-917,-388,286,-82,16575
tap_trace,8245,0x00,0,0,0x00,95,0,1483,0,0,-1,100,-217,-940,-389,211,-77,16530
tap_trace,8316,0x00,0,0,0x00,44,0,1447,0,0,-1,100,-183,-920,-356,229,-92,16588
tap_trace,8371,0x00,0,0,0x00,127,0,1503,0,0,-1,100,-198,-922,-380,254,-54,16598
